Survey_Num,Common Name,Length_mm,Depth,Geography,Mid Z_mm,Z.distance
49.20000076,Canary Rockfish,355.2189941,96,Central,-1734.196045,1.734196045
49.20000076,Canary Rockfish,437.0650024,96,Central,-1840.051025,1.840051025
49.20000076,Canary Rockfish,417.5029907,96,Central,-2015.670044,2.015670044
49.20000076,Canary Rockfish,377.197998,96,Central,-1342.735962,1.342735962
49.20000076,Canary Rockfish,438.6820068,96,Central,-1511.616943,1.511616943
49.40000153,Starry Rockfish,303.6600037,92,Central,-1355.234009,1.355234009
49.5,Lingcod,,88,Central,-2250.947998,2.250947998
49.5,Pygmy Rockfish,100.2419968,88,Central,-1315.022949,1.315022949
49.5,Pygmy Rockfish,100.4199982,88,Central,-1620.704956,1.620704956
49.5,Pygmy Rockfish,118.4300003,88,Central,-1273.610962,1.273610962
49.5,Pygmy Rockfish,71.73600006,88,Central,-1233.474976,1.233474976
49.5,Pygmy Rockfish,84.77300262,88,Central,-1054.415039,1.054415039
49.5,Canary Rockfish,,88,Central,-1085.598999,1.085598999
50.40000153,Lingcod,590.9689941,195,Central,-3238.345947,3.238345947
50.40000153,Lingcod,483.6480103,195,Central,-1516.417969,1.516417969
50.40000153,Pygmy Rockfish,108.4720001,195,Central,-1333.334961,1.333334961
50.5,Lingcod,440.2279968,115,Central,-1161.901978,1.161901978
50.5,Lingcod,449.8089905,115,Central,-1297.280029,1.297280029
50.59999847,Canary Rockfish,331.7430115,120,Central,-1333.81604,1.33381604
50.59999847,Starry Rockfish,348.8039856,120,Central,-1723.025024,1.723025024
53.20000076,Lingcod,318.2820129,144,Central,-1701.062988,1.701062988
53.20000076,Lingcod,386.6409912,144,Central,-1618.958984,1.618958984
56.29999924,Lingcod,,213,Central,-1724.25,1.72425
62.20000076,Lingcod,,230,Central,-1510.672974,1.510672974
62.59999847,Canary Rockfish,493.4809875,165,Central,-1793.646973,1.793646973
63.20000076,Canary Rockfish,487.7749939,212,Central,-2399.756104,2.399756104
63.20000076,Lingcod,473.4129944,212,Central,-1519.982056,1.519982056
63.20000076,Lingcod,611.3259888,212,Central,-3034.861084,3.034861084
65.09999847,Lingcod,285.4119873,270,Central,-3647.407959,3.647407959
65.19999695,Lingcod,501.3410034,250,Central,-2563.571045,2.563571045
65.19999695,Lingcod,589.5,250,Central,-1041.105957,1.041105957
66.19999695,Lingcod,377.5669861,218,Central,-2175.081055,2.175081055
67.19999695,Pygmy Rockfish,84.50900269,90,Central,-1391.410034,1.391410034
67.19999695,Canary Rockfish,432.0209961,90,Central,-2203.148926,2.203148926
67.30000305,Yelloweye Rockfish,459.7609863,90,Central,-1782.276001,1.782276001
67.30000305,Canary Rockfish,321.1220093,90,Central,-2383.499023,2.383499023
67.30000305,Canary Rockfish,328.677002,90,Central,-1092.350952,1.092350952
